WL(nm),pleiades1a blue,Pleiades1a green,Pleiades1a red,pleiades1a nir,Pleiades1a pan
430,0.009967546,0.000014526,0.009745139,0.002435014,0
432.5,0.029622312,0.000014471,0.003532977,0.001743939,0
435,0.088616034,0.000026131,0.003539752,0.002096486,0
437.5,0.130000889,0.000019131,0.011449471,0.002065789,0
440,0.135475504,0.000013364,0.02668648,0.001275801,0
442.5,0.248180852,0.000018049,0.037374441,0.000741766,0
445,0.438930773,0.000022593,0.090503738,0.000624573,0
447.5,0.51847632,0.00001809,0.090818849,0.000639346,0
450,0.47584402,0.000012545,0.039957972,0.000778056,0.000435797
452.5,0.517753105,0.000020384,0.020888795,0.001192892,0.000805121
455,0.659617343,0.00002793,0.00807479,0.002098098,0.003046692
457.5,0.778553853,0.000029568,0.002702,0.002417691,0.006069272
460,0.795881716,0.000042436,0.001124834,0.001348129,0.01301812
462.5,0.772539858,0.000036957,0.000646423,0.000637739,0.024018666
465,0.779615444,0.000026384,0.000503207,0.000357162,0.042170927
467.5,0.80940361,0.000024958,0.000605511,0.000291239,0.071828777
470,0.832382851,0.000044973,0.000998599,0.00025175,0.115175905
472.5,0.843705809,0.000091165,0.001945914,0.000256023,0.173866953
475,0.841004865,0.000115643,0.001456406,0.000337148,0.244317011
477.5,0.833227275,0.000083169,0.000609383,0.00050875,0.320436558
480,0.825046666,0.000078686,0.000323247,0.000875164,0.39407389
482.5,0.824563849,0.000194414,0.000250478,0.000994772,0.455295155
485,0.836890823,0.000343836,0.00025392,0.000663846,0.501565135
487.5,0.871071812,0.00041291,0.000336226,0.000386301,0.532476793
490,0.916650505,0.000498954,0.000538061,0.000262614,0.553751623
492.5,0.947350771,0.000793414,0.000777791,0.00023745,0.568431885
495,0.960149451,0.004647854,0.000489838,0.000238256,0.582478093
497.5,0.96687151,0.00860467,0.000204677,0.000281293,0.596761321
500,0.974781419,0.014456811,0.000087519,0.000364106,0.610763526
502.5,0.972985503,0.024595401,0.000059475,0.000561865,0.6232616
505,0.968386625,0.048579429,0.000021725,0.000747127,0.633647494
507.5,0.966372532,0.110928481,0.000029054,0.000747033,0.642215231
510,0.97439658,0.237946929,0.00002969,0.000581299,0.650157914
512.5,0.990341648,0.437540561,0.000040803,0.000426307,0.657106511
515,1,0.656188021,0.000045611,0.00032309,0.664083111
517.5,0.993808231,0.818374526,0.00004476,0.000306784,0.670799689
520,0.981704484,0.894382613,0.000032182,0.000304214,0.676592187
522.5,0.981317625,0.916516553,0.000022239,0.000322545,0.680875555
525,0.96713716,0.923037655,0.00001473,0.000384211,0.683034741
527.5,0.885850242,0.92865302,0.000009506,0.00046659,0.68348978
530,0.717549272,0.937404094,0.000007205,0.000597585,0.683238759
532.5,0.499362642,0.950741471,0.000011313,0.000713529,0.683197755
535,0.305244115,0.961630528,0.000031351,0.000864371,0.684734887
537.5,0.174007903,0.969168562,0.000012318,0.000908696,0.689341283
540,0.095304457,0.977241344,0.000012168,0.000888134,0.696499899
542.5,0.054937557,0.981526409,0.00002802,0.000786142,0.707370834
545,0.034921578,0.983434925,0.000018042,0.000663372,0.719398868
547.5,0.026364815,0.987572403,0.000026123,0.000590832,0.732367984
550,0.02323277,0.995775588,0.000013809,0.000526467,0.745019072
552.5,0.022545211,1,0.00003925,0.000554871,0.755491972
555,0.021225344,0.997317159,0.000051775,0.000645232,0.763942699
557.5,0.017491697,0.984917867,0.000069542,0.00083575,0.771660363
560,0.012031223,0.967924185,0.000079763,0.00135479,0.777700882
562.5,0.007362943,0.953808441,0.000078573,0.002412803,0.782715314
565,0.004677715,0.954188527,0.000100507,0.002748601,0.787173697
567.5,0.003363292,0.967536012,0.000117028,0.001444118,0.791428063
570,0.002612543,0.98180743,0.000148429,0.000643751,0.794969367
572.5,0.002043587,0.986765732,0.000183872,0.000362429,0.797497585
575,0.001518135,0.972412434,0.000211101,0.000243426,0.799753779
577.5,0.001063287,0.934535254,0.000297467,0.000173143,0.800768866
580,0.000711528,0.882949709,0.000416519,0.000157786,0.800405835
582.5,0.000525141,0.844057619,0.000637544,0.000165465,0.800324828
585,0.000415859,0.825548648,0.001001881,0.0001907,0.800084807
587.5,0.000413853,0.810306798,0.003291045,0.000236941,0.801346916
590,0.000537058,0.751671468,0.010017612,0.000325166,0.803661115
592.5,0.000962769,0.62272934,0.018195891,0.000678604,0.807779469
595,0.001365755,0.4368279,0.033073159,0.001442173,0.813737981
597.5,0.001441672,0.257219105,0.062520289,0.001342888,0.82105061
600,0.000927412,0.137565833,0.118446359,0.000584131,0.830364411
602.5,0.000347427,0.077791559,0.222022755,0.00024424,0.839138166
605,0.000133674,0.048452969,0.375933876,0.000127311,0.848318955
607.5,0.000079108,0.03457306,0.557856764,0.000102958,0.856486658
610,0.000063231,0.026960121,0.734714259,0.000044896,0.863534264
612.5,0.00005166,0.021494263,0.864263056,0.000065732,0.869042738
615,0.000054362,0.016228557,0.932616853,0.000054792,0.873875153
617.5,0.000053827,0.010812939,0.953339738,0.000057754,0.876852409
620,0.000045837,0.006120121,0.962653978,0.000052212,0.880071686
622.5,0.000040837,0.003113126,0.95337276,0.000050832,0.882638907
625,0.000031787,0.001558383,0.944354718,0.000065364,0.885063115
627.5,0.000033035,0.000842386,0.946263997,0.000072821,0.889509498
630,0.000026444,0.000475744,0.956874106,0.000083927,0.893987883
632.5,0.000030555,0.000294953,0.969961874,0.000074428,0.899493356
635,0.000020757,0.000193753,0.984623698,0.000069627,0.905707891
637.5,0.000024372,0.000148755,0.995583041,0.000139237,0.912457471
640,0.000024292,0.000107435,0.99993996,0.000170494,0.91895903
642.5,0.000027589,0.000092156,1,0.000225724,0.924556512
645,0.00002607,0.0000595,0.997010997,0.000231373,0.929033897
647.5,0.00002104,0.000055815,0.995079703,0.000156476,0.933881314
650,0.000034413,0.000076058,0.988967608,0.000150359,0.937491624
652.5,0.000038261,0.000089396,0.986418901,0.000113016,0.941568975
655,0.000039646,0.00009958,0.981413547,0.000106662,0.94500027
657.5,0.000043348,0.000113753,0.969028249,0.000107634,0.948102537
660,0.000028333,0.000138246,0.955109924,0.000102016,0.951062791
662.5,0.000027944,0.000196802,0.937803328,0.000087111,0.953338987
665,0.000018868,0.000230842,0.917649825,0.000053724,0.956124227
667.5,0.000027438,0.000211089,0.89288023,0.000035686,0.958225407
670,0.000024727,0.000151377,0.866851791,0.000044301,0.960173575
672.5,0.000021141,0.000064401,0.844841043,0.000037388,0.961040649
675,0.000013868,0.000031034,0.822593137,0.000069637,0.963217837
677.5,0.000017237,0.000028562,0.789335855,0.000077517,0.965014991
680,0.000025919,0.000031418,0.737786317,0.000079714,0.967530208
682.5,0.000030333,0.000033424,0.662952178,0.000134381,0.972975676
685,0.000033312,0.000021744,0.566591616,0.000125356,0.977508066
687.5,0.000044999,0.000023821,0.449613241,0.000206395,0.982867527
690,0.00004013,0.000020682,0.326218566,0.000247407,0.987547929
692.5,0.000040282,0.000018838,0.219551099,0.000274223,0.992750377
695,0.000038797,0.000023594,0.141744969,0.00038412,0.996725718
697.5,0.000033934,0.000023573,0.092628961,0.000460367,0.999453953
700,0.000031009,0.000020015,0.06198523,0.000630358,1
702.5,0.000030253,0.000019691,0.045675002,0.000824868,0.994375516
705,0.000024424,0.000016285,0.035592147,0.000980818,0.988348998
707.5,0.000022595,0.000031099,0.031108743,0.001237587,0.981156379
710,0.000021242,0.000046924,0.02953659,0.001363346,0.975241871
712.5,0.000032872,0.000029321,0.023350745,0.001588078,0.970082427
715,0.000069665,0.000026727,0.018975514,0.001759388,0.966077083
717.5,0.000221698,0.000023508,0.015873335,0.001925216,0.963303844
720,0.000511351,0.00003996,0.013235468,0.002102532,0.962487774
722.5,0.00084576,0.0001125,0.010754506,0.002323162,0.962232752
725,0.000955906,0.000192317,0.00840255,0.002543732,0.963423854
727.5,0.000717025,0.000231484,0.006389001,0.003752335,0.965514034
730,0.000495927,0.000225292,0.004663194,0.004452954,0.967186178
732.5,0.000447764,0.000133686,0.003383677,0.005398964,0.967340191
735,0.00061246,0.000055365,0.00241834,0.006663106,0.967820233
737.5,0.001213971,0.000061434,0.001748962,0.008415762,0.965394024
740,0.001640425,0.000041809,0.001295768,0.01083439,0.963396852
742.5,0.001694838,0.000038565,0.000994569,0.015156093,0.958031391
745,0.000983077,0.000038504,0.000744719,0.021440823,0.953406993
747.5,0.000364208,0.000027162,0.000631633,0.029483802,0.94872259
750,0.000167541,0.000023503,0.000514565,0.041746297,0.94244005
752.5,0.000087306,0.000020005,0.000435722,0.05911887,0.935921489
755,0.000056978,0.000021026,0.000355088,0.084136254,0.930013981
757.5,0.000056737,0.000030548,0.000315834,0.11996243,0.924473505
760,0.000059635,0.000042365,0.000308096,0.168483333,0.919088042
762.5,0.000046216,0.000030842,0.000290749,0.234443623,0.914200621
765,0.000038555,0.000034359,0.000286862,0.314832096,0.908858162
767.5,0.000059201,0.000033738,0.000275244,0.410208063,0.904052749
770,0.00006918,0.000036614,0.000304984,0.513147313,0.898146241
772.5,0.000047927,0.000028497,0.000301219,0.61960165,0.892798781
775,0.000088069,0.000034056,0.000334464,0.719632488,0.887126293
777.5,0.000063482,0.000033329,0.000431314,0.807981304,0.882890929
780,0.000095775,0.000042871,0.000495792,0.878251808,0.877262445
782.5,0.000102477,0.000042431,0.000549177,0.931302618,0.873526123
785,0.000157936,0.000047551,0.000584191,0.966166277,0.869488776
787.5,0.000240257,0.000042188,0.00066917,0.985896317,0.866505519
790,0.00035284,0.000023513,0.000697227,0.995878238,0.866130487
792.5,0.000546303,0.000044413,0.000665481,1,0.858890865
795,0.000730144,0.000050816,0.000586953,0.997892762,0.847847915
797.5,0.000797516,0.000045074,0.000469143,0.993054478,0.833178653
800,0.000726083,0.000043295,0.000408904,0.9853491,0.813655974
802.5,0.000525682,0.000060324,0.000361346,0.97352196,0.786660653
805,0.000397849,0.000067859,0.000240581,0.960609456,0.749050418
807.5,0.000315957,0.000115456,0.000261055,0.949441395,0.698228048
810,0.000272569,0.000179965,0.000247766,0.937580999,0.630681239
812.5,0.00026314,0.000358418,0.000213443,0.931325797,0.550709361
815,0.000240166,0.000971392,0.000209911,0.928376066,0.461723708
817.5,0.000230949,0.004170836,0.000191758,0.927529543,0.369620787
820,0.000243035,0.006740399,0.00016433,0.928859794,0.282373284
822.5,0.000276812,0.007941683,0.000180056,0.92990787,0.207468842
825,0.000323548,0.006939115,0.000218156,0.930167874,0.146542603
827.5,0.00038502,0.002976053,0.000200436,0.93094083,0.101018688
830,0.000495342,0.001144332,0.000203126,0.931485024,0.068692708
832.5,0.000613799,0.000710436,0.000234958,0.927801639,0.047107451
835,0.000829293,0.000552995,0.000273693,0.922593506,0.032424889
837.5,0.001190941,0.000502047,0.000265363,0.916150859,0.024677322
840,0.001833309,0.000498287,0.000294617,0.907329884,0.017415798
842.5,0.003112783,0.000540899,0.00046695,0.897477965,0.01267079
845,0.005614884,0.000629062,0.000488487,0.884457631,0.011663903
847.5,0.010469645,0.000804374,0.000664686,0.873591899,0.008670126
850,0.016798482,0.001082416,0.000780353,0.860358926,0.008177933
852.5,0.021363421,0.001688006,0.00105946,0.849404511,0
855,0.021842501,0.003066374,0.001401749,0.836980774,0
857.5,0.017869264,0.005555593,0.001902335,0.825938683,0
860,0.013830675,0.009238342,0.002493411,0.813175329,0
862.5,0.010821556,0.012640384,0.003440195,0.798259387,0
865,0.00904573,0.014577913,0.004221018,0.785217889,0
867.5,0.00805936,0.01426323,0.005365435,0.772000032,0
870,0.007998715,0.011869396,0.006285641,0.757959839,0
872.5,0.008126712,0.00907999,0.006881961,0.743254519,0
875,0.00898155,0.006865423,0.00711888,0.727336858,0
877.5,0.010309043,0.005746677,0.00704463,0.709791654,0
880,0.012742822,0.005256275,0.006592007,0.690639065,0
882.5,0.016388593,0.00542231,0.006791831,0.669408462,0
885,0.0223536,0.006100591,0.006692204,0.646365896,0
887.5,0.031140154,0.006840374,0.006861797,0.622096879,0
890,0.041613133,0.008407814,0.007053296,0.596551022,0
892.5,0.050325245,0.010767854,0.007396045,0.571636027,0
895,0.05366183,0.014062168,0.008125494,0.547229954,0
897.5,0.048936894,0.018573263,0.008744949,0.522482248,0
900,0.039506315,0.023380238,0.009664565,0.499603948,0
902.5,0.029434135,0.027562396,0.010669649,0.477110614,0
905,0.02147756,0.030136568,0.012020954,0.456338545,0
907.5,0.016377987,0.03035815,0.0137314,0.436591373,0
910,0.013022412,0.028962042,0.015992415,0.416400784,0
912.5,0.010925897,0.026906444,0.018101728,0.394955527,0
915,0.009506325,0.025021885,0.020670049,0.368808035,0
917.5,0.008523601,0.023954915,0.02365665,0.335124469,0
920,0.00780271,0.023526308,0.026980777,0.294033825,0
922.5,0.007497939,0.023930553,0.031070517,0.247296668,0
925,0.007333448,0.024847915,0.035338277,0.197778078,0
927.5,0.007419962,0.025996765,0.039899633,0.149839664,0
930,0.007496152,0.027063028,0.043908919,0.10771606,0
932.5,0.007720358,0.027036138,0.0462687,0.074399321,0
935,0.007857153,0.025721203,0.0455221,0.049559606,0
937.5,0.007893869,0.022952338,0.040902805,0.033053813,0
940,0.007777933,0.019056154,0.033339838,0.021750711,0
942.5,0.007298439,0.014959616,0.025135441,0.014651504,0
945,0.006656728,0.011105787,0.017920907,0.010402058,0
947.5,0.005769507,0.008066212,0.012521289,0.007673562,0
950,0.004862135,0.005814142,0.008617424,0.00618222,0
