WL(nm),pleiades1b blue,Pleiades1b green,Pleiades1b red,pleiades1b nir,Pleiades1b pan
430,0.00160252,0.00000328,0.00045369,0.00019627,0.00000849
432.5,0.00133817,0.00000328,0.00085315,0.00076126,0.00001274
435,0.00434379,0.00000492,0.00052090,0.00038233,0.00002548
437.5,0.01107246,0.00000656,0.00119456,0.00051280,0.00004106
440,0.01762704,0.00000656,0.00514180,0.00168702,0.00005946
442.5,0.02336715,0.00000287,0.00800331,0.00266497,0.00007645
445,0.05740328,0.00000656,0.00669304,0.00122527,0.00010477
447.5,0.13455485,0.00000574,0.01085941,0.00073914,0.00016282
450,0.22376315,0.00000410,0.02469086,0.00074084,0.00040776
452.5,0.30854275,0.00000287,0.06535932,0.00075388,0.00075604
455,0.46155657,0.00001476,0.12254233,0.00077601,0.00279482
457.5,0.65082053,0.00002296,0.05700925,0.00099043,0.00557835
460,0.75536909,0.00001066,0.02137527,0.00154861,0.01198631
462.5,0.74772036,0.00001271,0.01279721,0.00217997,0.02213488
465,0.71681864,0.00002214,0.00627754,0.00198767,0.03891798
467.5,0.71853818,0.00001886,0.00235360,0.00104489,0.06641880
470,0.75669621,0.00009018,0.00094098,0.00049238,0.10670163
472.5,0.81010888,0.00011519,0.00051746,0.00028306,0.16142720
475,0.84216647,0.00011232,0.00037425,0.00021442,0.22720181
477.5,0.82343708,0.00018938,0.00038189,0.00019570,0.29865526
480,0.77524723,0.00032302,0.00051555,0.00021329,0.36781508
482.5,0.75270060,0.00048493,0.00084627,0.00028193,0.42580411
485,0.78022033,0.00062390,0.00101278,0.00041750,0.46973974
487.5,0.81992665,0.00081533,0.00064310,0.00060697,0.49916608
490,0.85166317,0.00152080,0.00035134,0.00064100,0.51931599
492.5,0.86027513,0.00412994,0.00025129,0.00043735,0.53325046
495,0.85868402,0.00995368,0.00022303,0.00026548,0.54672621
497.5,0.86582616,0.01964214,0.00025167,0.00019060,0.56030389
500,0.88282175,0.03254765,0.00035516,0.00016224,0.57364372
502.5,0.90404127,0.05679279,0.00049990,0.00017074,0.58553375
505,0.91969548,0.12379094,0.00052625,0.00018493,0.59566250
507.5,0.93259557,0.28590941,0.00038648,0.00024619,0.60410360
510,0.95023331,0.52897561,0.00025281,0.00038347,0.61201519
512.5,0.97579805,0.77162533,0.00016269,0.00056272,0.61877430
515,0.99497695,0.88380406,0.00010693,0.00067844,0.62556456
517.5,1.00000000,0.90795655,0.00008784,0.00061434,0.63190459
520,0.99506257,0.91314614,0.00007027,0.00048444,0.63779438
522.5,0.98062845,0.91372822,0.00005843,0.00038800,0.64218625
525,0.94174979,0.92248412,0.00005499,0.00035964,0.64439492
527.5,0.84362202,0.93670834,0.00004812,0.00035340,0.64488196
530,0.67114246,0.94976020,0.00003666,0.00039708,0.64488479
532.5,0.46334033,0.95449887,0.00003208,0.00046232,0.64511416
535,0.28886511,0.95858168,0.00001909,0.00055137,0.64683579
537.5,0.16707836,0.96420578,0.00001795,0.00064100,0.65131827
540,0.09018009,0.97052675,0.00003743,0.00073063,0.65909110
542.5,0.05051943,0.97226481,0.00002406,0.00075729,0.66914057
545,0.03148822,0.96751793,0.00003437,0.00076693,0.68118068
547.5,0.02381373,0.95890961,0.00001489,0.00071928,0.69370216
550,0.02131084,0.95244927,0.00000687,0.00063646,0.70560918
552.5,0.02062981,0.95246567,0.00000726,0.00057066,0.71576909
555,0.01955991,0.95604837,0.00000382,0.00052868,0.72505685
557.5,0.01679438,0.95517934,0.00000229,0.00048784,0.73235113
560,0.01135822,0.94898955,0.00000917,0.00047650,0.73841933
562.5,0.00665197,0.94714491,0.00002941,0.00055194,0.74387588
565,0.00414401,0.95444968,0.00002368,0.00071815,0.74925316
567.5,0.00302988,0.97105964,0.00002902,0.00122414,0.75364502
570,0.00241591,0.98981759,0.00003895,0.00226562,0.75807936
572.5,0.00199032,1.00000000,0.00004506,0.00287883,0.76108939
575,0.00156827,0.99535970,0.00006950,0.00204099,0.76391253
577.5,0.00113554,0.96982168,0.00008134,0.00083898,0.76523490
580,0.00125291,0.92530437,0.00010387,0.00037893,0.76617217
582.5,0.00083552,0.86332445,0.00012297,0.00022520,0.76659691
585,0.00055082,0.79482845,0.00013519,0.00013955,0.76749454
587.5,0.00041990,0.72389670,0.00015352,0.00012423,0.76875462
590,0.00036174,0.64532650,0.00018331,0.00009984,0.77230266
592.5,0.00037780,0.54385243,0.00022150,0.00009700,0.77710794
595,0.00053227,0.41702808,0.00074545,0.00010438,0.78338284
597.5,0.00110915,0.27667063,0.00124421,0.00012423,0.79171917
600,0.00198710,0.15752736,0.00214165,0.00017245,0.80154494
602.5,0.00122007,0.08560689,0.00381933,0.00028647,0.81095163
605,0.00037530,0.04922566,0.00680456,0.00052755,0.82003268
607.5,0.00014698,0.03272375,0.01233290,0.00082082,0.82906842
610,0.00007492,0.02379340,0.02217801,0.00066029,0.83646465
612.5,0.00005280,0.01819668,0.04133250,0.00032220,0.84265177
615,0.00005565,0.01406190,0.07807099,0.00016791,0.84818761
617.5,0.00005744,0.00996589,0.15193428,0.00010324,0.85191687
620,0.00005637,0.00584546,0.27767458,0.00006807,0.85550455
622.5,0.00003782,0.00303833,0.45103760,0.00005729,0.85833619
625,0.00003496,0.00153556,0.62913226,0.00004765,0.86201731
627.5,0.00002069,0.00083870,0.76254860,0.00003233,0.86668385
630,0.00001356,0.00048780,0.83294508,0.00003630,0.87157974
632.5,0.00001998,0.00031154,0.85790555,0.00004141,0.87801888
635,0.00000428,0.00020742,0.86588710,0.00004425,0.88470719
637.5,0.00001106,0.00013814,0.86926302,0.00003914,0.89134738
640,0.00001213,0.00009264,0.87522054,0.00005786,0.89889085
642.5,0.00001142,0.00007010,0.88577604,0.00006353,0.90458243
645,0.00000928,0.00006395,0.90059346,0.00006240,0.91050904
647.5,0.00001177,0.00005411,0.91748837,0.00009019,0.91546157
650,0.00001926,0.00004099,0.93487974,0.00010097,0.92079354
652.5,0.00000892,0.00007010,0.94781061,0.00015259,0.92531566
655,0.00001142,0.00004755,0.95695311,0.00019173,0.92898829
657.5,0.00001712,0.00004714,0.96233015,0.00019684,0.93289311
660,0.00000499,0.00006231,0.96476663,0.00018606,0.93695650
662.5,0.00000856,0.00006723,0.96242945,0.00014295,0.94007980
665,0.00002426,0.00014839,0.96130668,0.00013614,0.94416018
667.5,0.00003853,0.00025128,0.96202464,0.00009473,0.94692952
670,0.00001284,0.00029924,0.96991453,0.00008963,0.95034730
672.5,0.00002355,0.00023037,0.98115744,0.00008792,0.95210858
675,0.00000999,0.00012708,0.99339326,0.00007942,0.95428044
677.5,0.00001142,0.00006723,1.00000000,0.00007545,0.95744054
680,0.00002069,0.00003115,0.98095122,0.00007601,0.96077054
682.5,0.00001391,0.00003156,0.95226348,0.00008509,0.96631488
685,0.00000571,0.00001722,0.91317299,0.00009416,0.97209991
687.5,0.00000285,0.00000656,0.86940051,0.00008225,0.97882787
690,0.00000856,0.00000574,0.82520794,0.00008168,0.98459591
692.5,0.00001249,0.00001763,0.78304704,0.00010664,0.99122193
695,0.00000856,0.00001066,0.73612700,0.00012139,0.99568742
697.5,0.00000928,0.00001722,0.67348904,0.00013501,0.99908821
700,0.00000642,0.00001148,0.58775272,0.00016904,1.00000000
702.5,0.00001177,0.00000287,0.48049142,0.00020364,0.99632737
705,0.00000571,0.00000328,0.36300687,0.00025073,0.99146829
707.5,0.00001356,0.00000287,0.25230319,0.00031880,0.98696882
710,0.00001712,0.00001394,0.16260282,0.00039708,0.98170198
712.5,0.00000714,0.00001271,0.10222109,0.00050826,0.97714588
715,0.00000999,0.00001722,0.06412734,0.00063306,0.97459741
717.5,0.00002711,0.00000984,0.04191557,0.00079586,0.97290126
720,0.00006350,0.00000738,0.02846395,0.00096887,0.97393198
722.5,0.00021941,0.00002419,0.02045483,0.00115380,0.97419249
725,0.00076131,0.00003279,0.01536963,0.00135234,0.97687121
727.5,0.00111948,0.00012954,0.01211744,0.00155428,0.97982461
730,0.00075417,0.00027711,0.00988108,0.00175623,0.98277234
732.5,0.00040848,0.00018938,0.00831685,0.00198880,0.98457326
735,0.00035461,0.00012380,0.00710167,0.00225087,0.98507729
737.5,0.00040634,0.00002419,0.00609499,0.00253450,0.98372660
740,0.00067925,0.00000738,0.00517235,0.00290322,0.98259678
742.5,0.00162929,0.00000738,0.00431423,0.00523579,0.97902326
745,0.00240022,0.00000410,0.00349508,0.00640093,0.97459458
747.5,0.00103172,0.00001025,0.00277139,0.00801250,0.96974116
750,0.00034819,0.00000984,0.00358902,0.01014709,0.96481412
752.5,0.00016589,0.00000328,0.00303108,0.01310930,0.95983894
755,0.00008277,0.00001558,0.00231732,0.01713456,0.95333467
757.5,0.00009704,0.00002296,0.00178421,0.02290458,0.94835666
760,0.00004638,0.00000738,0.00133128,0.03097789,0.94454811
762.5,0.00002640,0.00001025,0.00102080,0.04266214,0.93968903
765,0.00003211,0.00000902,0.00078975,0.05918984,0.93445617
767.5,0.00004103,0.00000697,0.00063853,0.08350724,0.92971602
770,0.00001570,0.00001722,0.00050792,0.11788844,0.92483428
772.5,0.00000892,0.00002296,0.00041206,0.16637755,0.91833568
775,0.00004709,0.00000246,0.00037884,0.23111404,0.91119430
777.5,0.00007884,0.00002132,0.00035936,0.31593595,0.90610019
780,0.00002212,0.00000984,0.00029788,0.41721624,0.90061815
782.5,0.00005351,0.00001189,0.00027878,0.52849501,0.89534564
785,0.00008277,0.00003443,0.00028107,0.64095934,0.89080937
787.5,0.00010524,0.00000902,0.00026236,0.74723944,0.88949549
790,0.00018337,0.00001804,0.00028566,0.83855191,0.88854123
792.5,0.00026043,0.00001722,0.00029482,0.90881233,0.88097793
795,0.00044166,0.00001886,0.00027573,0.95936626,0.87078405
797.5,0.00071029,0.00001804,0.00031583,0.98811370,0.85666836
800,0.00086476,0.00002869,0.00037502,1.00000000,0.83693470
802.5,0.00073705,0.00002869,0.00042963,0.99920584,0.81024089
805,0.00055154,0.00002050,0.00051861,0.98964189,0.77285199
807.5,0.00039457,0.00004345,0.00057475,0.96769586,0.71895467
810,0.00028112,0.00002951,0.00061943,0.95143601,0.65285018
812.5,0.00023403,0.00005288,0.00065036,0.93749397,0.57108109
815,0.00022475,0.00009346,0.00065151,0.92547153,0.47958534
817.5,0.00019229,0.00013363,0.00060415,0.91522347,0.38464915
820,0.00021976,0.00027711,0.00053694,0.90878284,0.29477309
822.5,0.00023403,0.00070505,0.00046438,0.90260768,0.21664491
825,0.00024544,0.00318508,0.00037655,0.89668325,0.15313193
827.5,0.00024544,0.01419053,0.00032155,0.89248328,0.10570546
830,0.00027827,0.00833941,0.00028413,0.88549127,0.07167998
832.5,0.00035068,0.00224435,0.00025396,0.87765519,0.04914329
835,0.00043167,0.00091822,0.00022684,0.86763857,0.03377573
837.5,0.00053263,0.00057184,0.00022264,0.85689586,0.02569861
840,0.00068853,0.00043697,0.00016727,0.84744082,0.01817626
842.5,0.00102779,0.00040295,0.00019782,0.83604804,0.01319689
845,0.00156257,0.00041812,0.00022073,0.82369772,0.01215620
847.5,0.00260857,0.00044517,0.00020890,0.81304350,0.00902014
850,0.00457497,0.00051732,0.00023295,0.80162689,0.00841562
852.5,0.00906189,0.00060217,0.00020546,0.79216165,0.00427999
855,0.01716255,0.00075753,0.00018713,0.78279510,0.00331301
857.5,0.02379276,0.00111089,0.00025052,0.77693534,0.00266881
860,0.02152347,0.00193810,0.00029329,0.77146471,0.00221151
862.5,0.01591385,0.00369053,0.00026351,0.76314533,0.00182923
865,0.01195613,0.00635704,0.00025892,0.75434037,0.00152908
867.5,0.00948243,0.01027145,0.00044911,0.74523703,0.00136343
870,0.00786920,0.01310760,0.00053618,0.73492090,0.00121477
872.5,0.00722420,0.01326050,0.00056673,0.72551237,0.00110151
875,0.00724203,0.01111539,0.00082107,0.71461424,0.00099390
877.5,0.00756775,0.00836647,0.00098566,0.70308871,0.00091887
880,0.00837935,0.00656446,0.00130760,0.69194779,0.00085232
882.5,0.00986379,0.00568478,0.00176128,0.68164754,0.00082259
885,0.01225866,0.00537979,0.00240287,0.67052023,0.00069658
887.5,0.01626739,0.00562287,0.00326823,0.65953587,0.00072207
890,0.02260157,0.00620045,0.00436350,0.64759625,0.00066827
892.5,0.03202713,0.00723917,0.00566154,0.62918536,0.00064703
895,0.04443041,0.00891986,0.00689010,0.61109327,0.00061446
897.5,0.05466908,0.01151015,0.00782230,0.59343230,0.00060314
900,0.05642436,0.01494159,0.00832983,0.57605949,0.00061163
902.5,0.04800412,0.01926862,0.00843638,0.55999365,0.00055783
905,0.03579919,0.02347858,0.00818548,0.54487512,0.00052952
907.5,0.02583365,0.02644025,0.00813812,0.53061428,0.00052952
910,0.01888708,0.02704899,0.00800064,0.51548327,0.00052102
912.5,0.01443869,0.02554540,0.00776769,0.49767595,0.00050545
915,0.01167930,0.02339742,0.00778449,0.47340984,0.00044740
917.5,0.00991124,0.02139455,0.00799835,0.43876973,0.00044740
920,0.00864692,0.01994425,0.00815187,0.39342209,0.00040776
922.5,0.00780998,0.01925313,0.00850588,0.33676902,0.00045589
925,0.00722705,0.01907440,0.00879269,0.27427320,0.00040776
927.5,0.00699588,0.01968928,0.00931206,0.21143363,0.00043466
930,0.00692310,0.02069358,0.00975276,0.15355415,0.00037661
932.5,0.00691418,0.02201066,0.01013580,0.10634080,0.00038510
935,0.00702085,0.02323017,0.01038747,0.07044195,0.00038793
937.5,0.00725274,0.02375733,0.01040618,0.04591206,0.00037236
940,0.00737260,0.02298586,0.01017132,0.02953479,0.00033413
942.5,0.00750496,0.02065956,0.00952248,0.01927539,0.00037236
945,0.00747035,0.01722484,0.00860861,0.01268046,0.00033130
947.5,0.00706723,0.01329215,0.00733731,0.00846238,0.00033413
950,0.00636800,0.00978151,0.00598425,0.00576900,0.00031431
