nm,Coastal Aerosol,Blue,Green,Red,Pan,Nir,Cirrus,SWIR1,SWIR2
427,0.000073,,,,,,,,
428,0.000609,,,,,,,,
429,0.001628,,,,,,,,
430,0.003421,,,,,,,,
431,0.008019,,,,,,,,
432,0.024767,,,,,,,,
433,0.085688,,,,,,,,
434,0.254149,,,,,,,,
435,0.517821,,,,,,,,
436,0.765117,0.00001,,,,,,,
437,0.908749,0.000061,,,,,,,
438,0.958204,0.000117,,,,,,,
439,0.977393,0.000241,,,,,,,
440,0.98379,0.000349,,,,,,,
441,0.989052,0.000455,,,,,,,
442,0.986713,0.000756,,,,,,,
443,0.993683,0.001197,,,,,,,
444,0.993137,0.00207,,,,,,,
445,1,0.003712,,,,,,,
446,0.996969,0.006869,,,,,,,
447,0.98278,0.013212,,,,,,,
448,0.972692,0.02717,,,,,,,
449,0.905808,0.058606,,,,,,,
450,0.745606,0.130876,,,,,,,
451,0.471329,0.27137,,,,,,,
452,0.226412,0.493542,,,,,,,
453,0.09286,0.723971,,,,,,,
454,0.036603,0.85751,,,,,,,
455,0.014537,0.894222,,,,,,,
456,0.005829,0.903034,,,,,,,
457,0.002414,0.910928,,,,,,,
458,0.000984,0.90988,,,,,,,
459,0.000255,0.899475,,,,,,,
460,,0.897977,,,,,,,
461,,0.889667,,,,,,,
462,,0.883542,,,,,,,
463,,0.877453,,,,,,,
464,,0.881011,,,,,,,
465,,0.874721,,,,,,,
466,,0.879688,,,,,,,
467,,0.886569,,,,,,,
468,,0.891913,,,,,,,
469,,0.88768,,,,,,,
470,,0.861157,,,,,,,
471,,0.848533,,,,,,,
472,,0.840828,,,,,,,
473,,0.828339,,,,,,,
474,,0.844202,,,,,,,
475,,0.865864,,,,,,,
476,,0.868497,,,,,,,
477,,0.890253,,,,,,,
478,,0.912538,,,,,,,
479,,0.910385,,,,,,,
480,,0.918822,,,,,,,
481,,0.931726,,,,,,,
482,,0.931813,,,,,,,
483,,0.954248,,,,,,,
484,,0.955545,,,,,,,
485,,0.96242,,,,,,,
486,,0.956424,,,,,,,
487,,0.953352,,,,,,,
488,,0.978564,,,0.000216,,,,
489,,0.989104,,,0.000514,,,,
490,,0.985615,,,0.001013,,,,
491,,0.989469,,,0.001587,,,,
492,,0.982262,,,0.002619,,,,
493,,0.968801,,,0.003841,,,,
494,,0.967332,,,0.006195,,,,
495,,0.976836,,,0.009003,,,,
496,,0.988729,,,0.015515,,,,
497,,0.980826,,,0.02327,,,,
498,,0.967361,,,0.042723,,,,
499,,0.954754,,,0.066556,,,,
500,,0.964132,,,0.124269,,,,
501,,0.966125,,,0.196006,,,,
502,,0.966772,,,0.323232,,,,
503,,0.981834,,,0.472496,,,,
504,,0.98232,,,0.598302,,,,
505,,0.965685,,,0.714816,,,,
506,,0.963135,,,0.776009,,,,
507,,0.972261,,,0.816555,,,,
508,,0.996498,,,0.831881,,,,
509,,1,,,0.837994,,,,
510,,0.9556,,,0.848975,,,,
511,,0.844893,,,0.861668,,,,
512,,0.534592,-0.000046,,0.862705,,,,
513,,0.190738,0.000016,,0.85964,,,,
514,,0.048329,0.00011,,0.858532,,,,
515,,0.013894,0.000247,,0.858244,,,,
516,,0.005328,0.000362,,0.857148,,,,
517,,0.002611,0.000648,,0.855759,,,,
518,,0.001557,0.000935,,0.858455,,,,
519,,0.0011,0.001332,,0.862834,,,,
520,,0.000785,0.001816,,0.860609,,,,
521,,0.000516,0.002515,,0.855993,,,,
522,,0.000321,0.003446,,0.852785,,,,
523,,0.000162,0.00488,,0.850183,,,,
524,,0.000072,0.007024,,0.852788,,,,
525,,0.000057,0.010441,,0.857317,,,,
526,,0.000023,0.016247,,0.85913,,,,
527,,0.000032,0.025513,,0.859876,,,,
528,,-0.000016,0.041451,,0.861508,,,,
529,,,0.070551,,0.863494,,,,
530,,,0.123444,,0.860265,,,,
531,,,0.21168,,0.855102,,,,
532,,,0.353885,,0.864423,,,,
533,,,0.545856,,0.879249,,,,
534,,,0.741205,,0.885593,,,,
535,,,0.865225,,0.888663,,,,
536,,,0.927396,,0.894758,,,,
537,,,0.954627,,0.902017,,,,
538,,,0.954163,,0.906294,,,,
539,,,0.959215,,0.90929,,,,
540,,,0.961328,,0.911734,,,,
541,,,0.964902,,0.914,,,,
542,,,0.969873,,0.909776,,,,
543,,,0.952489,,0.902939,,,,
544,,,0.961397,,0.908919,,,,
545,,,0.97827,,0.919859,,,,
546,,,0.977533,,0.92162,,,,
547,,,0.977001,,0.919456,,,,
548,,,0.980884,,0.91302,,,,
549,,,0.990784,,0.905134,,,,
550,,,1,,0.892702,,,,
551,,,0.992264,,0.878599,,,,
552,,,0.982642,,0.876838,,,,
553,,,0.983832,,0.879443,,,,
554,,,0.977765,,0.878303,,,,
555,,,0.965081,,0.875692,,,,
556,,,0.957314,,0.872666,,,,
557,,,0.946245,,0.869478,,,,
558,,,0.947871,,0.875361,,,,
559,,,0.959038,,0.884759,,,,
560,,,0.966534,,0.889903,,,,
561,,,0.977656,,0.893427,,,,
562,,,0.966447,,0.885948,,,,
563,,,0.953399,,0.874097,,,,
564,,,0.958314,,0.875674,,,,
565,,,0.970039,,0.882402,,,,
566,,,0.978607,,0.891375,,,,
567,,,0.983397,,0.901194,,,,
568,,,0.98096,,0.903528,,,,
569,,,0.974522,,0.902826,,,,
570,,,0.967229,,0.907551,,,,
571,,,0.979406,,0.91435,,,,
572,,,0.978208,,0.914932,,,,
573,,,0.975818,,0.91319,,,,
574,,,0.974392,,0.915508,,,,
575,,,0.979973,,0.919554,,,,
576,,,0.968827,,0.920802,,,,
577,,,0.969181,,0.92104,,,,
578,,,0.967838,,0.924431,,,,
579,,,0.982956,,0.929105,,,,
580,,,0.979598,,0.930068,,,,
581,,,0.963811,,0.929551,,,,
582,,,0.968886,,0.937549,,,,
583,,,0.983655,,0.948863,,,,
584,,,0.986657,,0.947084,,,,
585,,,0.974207,,0.940273,,,,
586,,,0.946407,,0.940813,,,,
587,,,0.904478,,0.944136,,,,
588,,,0.809275,,0.945674,,,,
589,,,0.684974,,0.946566,,,,
590,,,0.525304,,0.942462,,,,
591,,,0.345364,,0.936298,,,,
592,,,0.190467,,0.939621,,,,
593,,,0.087833,,0.946659,,,,
594,,,0.035393,,0.942374,,,,
595,,,0.014077,,0.933839,,,,
596,,,0.005944,,0.93425,,,,
597,,,0.002574,,0.93784,,,,
598,,,0.001046,,0.940838,,,,
599,,,0.000394,,0.943626,,,,
600,,,0.000085,,0.952415,,,,
601,,,-0.000084,,0.963664,,,,
602,,,-0.000194,,0.967381,,,,
603,,,-0.000234,,0.968241,,,,
604,,,-0.000292,,0.968233,,,,
605,,,-0.000307,,0.967878,,,,
606,,,-0.000343,,0.965083,,,,
607,,,-0.000348,,0.961367,,,,
608,,,-0.000329,,0.957232,,,,
609,,,-0.000351,,0.952939,,,,
610,,,-0.000317,,0.949345,,,,
611,,,,,0.946006,,,,
612,,,,,0.948081,,,,
613,,,,,0.952465,,,,
614,,,,,0.954526,,,,
615,,,,,0.955814,,,,
616,,,,,0.959149,,,,
617,,,,,0.963216,,,,
618,,,,,0.964158,,,,
619,,,,,0.963953,,,,
620,,,,,0.965943,,,,
621,,,,,0.968789,,,,
622,,,,,0.972688,,,,
623,,,,,0.977026,,,,
624,,,,,0.978028,,,,
625,,,,-0.000342,0.977901,,,,
626,,,,0.00027,0.974158,,,,
627,,,,0.000895,0.969078,,,,
628,,,,0.00185,0.969583,,,,
629,,,,0.003648,0.972297,,,,
630,,,,0.007197,0.972906,,,,
631,,,,0.014515,0.972708,,,,
632,,,,0.030432,0.969732,,,,
633,,,,0.066861,0.96578,,,,
634,,,,0.148518,0.965561,,,,
635,,,,0.299778,0.966835,,,,
636,,,,0.526812,0.966641,,,,
637,,,,0.764443,0.965899,,,,
638,,,,0.905473,0.972067,,,,
639,,,,0.947949,0.981077,,,,
640,,,,0.950823,0.980971,,,,
641,,,,0.947418,0.977722,,,,
642,,,,0.951831,0.974405,,,,
643,,,,0.962705,0.971123,,,,
644,,,,0.975075,0.963139,,,,
645,,,,0.984173,0.95326,,,,
646,,,,0.983613,0.953494,,,,
647,,,,0.983434,0.957536,,,,
648,,,,0.982911,0.963851,,,,
649,,,,0.973636,0.970928,,,,
650,,,,0.959441,0.969453,,,,
651,,,,0.955641,0.96475,,,,
652,,,,0.955548,0.966541,,,,
653,,,,0.953337,0.970613,,,,
654,,,,0.956628,0.973941,,,,
655,,,,0.981688,0.977055,,,,
656,,,,1,0.982894,,,,
657,,,,0.992388,0.98977,,,,
658,,,,0.984615,0.988302,,,,
659,,,,0.981568,0.983542,,,,
660,,,,0.97696,0.987968,,,,
661,,,,0.97298,0.995538,,,,
662,,,,0.98108,0.998579,,,,
663,,,,0.996804,1,,,,
664,,,,0.992142,0.99981,,,,
665,,,,0.980678,0.999061,,,,
666,,,,0.964002,0.997891,,,,
667,,,,0.962154,0.99658,,,,
668,,,,0.970778,0.992555,,,,
669,,,,0.96718,0.987369,,,,
670,,,,0.966928,0.985862,,,,
671,,,,0.949928,0.985761,,,,
672,,,,0.848855,0.955679,,,,
673,,,,0.609359,0.913945,,,,
674,,,,0.31635,0.78014,,,,
675,,,,0.123946,0.610197,,,,
676,,,,0.046033,0.438556,,,,
677,,,,0.017702,0.266714,,,,
678,,,,0.007333,0.167313,,,,
679,,,,0.003205,0.094013,,,,
680,,,,0.001402,0.057564,,,,
681,,,,0.000554,0.034787,,,,
682,,,,0.000117,0.022882,,,,
683,,,,-0.000122,0.015178,,,,
684,,,,-0.000289,0.010755,,,,
685,,,,-0.000376,0.007663,,,,
686,,,,-0.000396,0.005756,,,,
687,,,,-0.000458,0.004292,,,,
688,,,,-0.000488,0.00322,,,,
689,,,,-0.000457,0.002283,,,,
690,,,,-0.000429,0.001545,,,,
691,,,,-0.000417,0.000879,,,,
692,,,,,0.000214,,,,
693,,,,,,,,,
694,,,,,,,,,
695,,,,,,,,,
696,,,,,,,,,
697,,,,,,,,,
698,,,,,,,,,
699,,,,,,,,,
700,,,,,,,,,
701,,,,,,,,,
702,,,,,,,,,
703,,,,,,,,,
704,,,,,,,,,
705,,,,,,,,,
706,,,,,,,,,
707,,,,,,,,,
708,,,,,,,,,
709,,,,,,,,,
710,,,,,,,,,
711,,,,,,,,,
712,,,,,,,,,
713,,,,,,,,,
714,,,,,,,,,
715,,,,,,,,,
716,,,,,,,,,
717,,,,,,,,,
718,,,,,,,,,
719,,,,,,,,,
720,,,,,,,,,
721,,,,,,,,,
722,,,,,,,,,
723,,,,,,,,,
724,,,,,,,,,
725,,,,,,,,,
726,,,,,,,,,
727,,,,,,,,,
728,,,,,,,,,
729,,,,,,,,,
730,,,,,,,,,
731,,,,,,,,,
732,,,,,,,,,
733,,,,,,,,,
734,,,,,,,,,
735,,,,,,,,,
736,,,,,,,,,
737,,,,,,,,,
738,,,,,,,,,
739,,,,,,,,,
740,,,,,,,,,
741,,,,,,,,,
742,,,,,,,,,
743,,,,,,,,,
744,,,,,,,,,
745,,,,,,,,,
746,,,,,,,,,
747,,,,,,,,,
748,,,,,,,,,
749,,,,,,,,,
750,,,,,,,,,
751,,,,,,,,,
752,,,,,,,,,
753,,,,,,,,,
754,,,,,,,,,
755,,,,,,,,,
756,,,,,,,,,
757,,,,,,,,,
758,,,,,,,,,
759,,,,,,,,,
760,,,,,,,,,
761,,,,,,,,,
762,,,,,,,,,
763,,,,,,,,,
764,,,,,,,,,
765,,,,,,,,,
766,,,,,,,,,
767,,,,,,,,,
768,,,,,,,,,
769,,,,,,,,,
770,,,,,,,,,
771,,,,,,,,,
772,,,,,,,,,
773,,,,,,,,,
774,,,,,,,,,
775,,,,,,,,,
776,,,,,,,,,
777,,,,,,,,,
778,,,,,,,,,
779,,,,,,,,,
780,,,,,,,,,
781,,,,,,,,,
782,,,,,,,,,
783,,,,,,,,,
784,,,,,,,,,
785,,,,,,,,,
786,,,,,,,,,
787,,,,,,,,,
788,,,,,,,,,
789,,,,,,,,,
790,,,,,,,,,
791,,,,,,,,,
792,,,,,,,,,
793,,,,,,,,,
794,,,,,,,,,
795,,,,,,,,,
796,,,,,,,,,
797,,,,,,,,,
798,,,,,,,,,
799,,,,,,,,,
800,,,,,,,,,
801,,,,,,,,,
802,,,,,,,,,
803,,,,,,,,,
804,,,,,,,,,
805,,,,,,,,,
806,,,,,,,,,
807,,,,,,,,,
808,,,,,,,,,
809,,,,,,,,,
810,,,,,,,,,
811,,,,,,,,,
812,,,,,,,,,
813,,,,,,,,,
814,,,,,,,,,
815,,,,,,,,,
816,,,,,,,,,
817,,,,,,,,,
818,,,,,,,,,
819,,,,,,,,,
820,,,,,,,,,
821,,,,,,,,,
822,,,,,,,,,
823,,,,,,,,,
824,,,,,,,,,
825,,,,,,,,,
826,,,,,,,,,
827,,,,,,,,,
828,,,,,,,,,
829,,,,,,-0.000034,,,
830,,,,,,0.000011,,,
831,,,,,,0.00005,,,
832,,,,,,0.0001,,,
833,,,,,,0.000239,,,
834,,,,,,0.000314,,,
835,,,,,,0.000495,,,
836,,,,,,0.000719,,,
837,,,,,,0.000986,,,
838,,,,,,0.001445,,,
839,,,,,,0.002107,,,
840,,,,,,0.00316,,,
841,,,,,,0.004744,,,
842,,,,,,0.007059,,,
843,,,,,,0.0109,,,
844,,,,,,0.017346,,,
845,,,,,,0.028332,,,
846,,,,,,0.048191,,,
847,,,,,,0.084363,,,
848,,,,,,0.145365,,,
849,,,,,,0.249733,,,
850,,,,,,0.403526,,,
851,,,,,,0.582623,,,
852,,,,,,0.745037,,,
853,,,,,,0.890315,,,
854,,,,,,0.960215,,,
855,,,,,,0.986833,,,
856,,,,,,0.973133,,,
857,,,,,,0.980606,,,
858,,,,,,0.99612,,,
859,,,,,,1,,,
860,,,,,,0.989777,,,
861,,,,,,0.980733,,,
862,,,,,,0.975935,,,
863,,,,,,0.972043,,,
864,,,,,,0.957357,,,
865,,,,,,0.951209,,,
866,,,,,,0.947044,,,
867,,,,,,0.953162,,,
868,,,,,,0.951499,,,
869,,,,,,0.94845,,,
870,,,,,,0.940094,,,
871,,,,,,0.950632,,,
872,,,,,,0.956079,,,
873,,,,,,0.96646,,,
874,,,,,,0.969821,,,
875,,,,,,0.93661,,,
876,,,,,,0.891066,,,
877,,,,,,0.788733,,,
878,,,,,,0.63532,,,
879,,,,,,0.448364,,,
880,,,,,,0.288847,,,
881,,,,,,0.174619,,,
882,,,,,,0.100343,,,
883,,,,,,0.058265,,,
884,,,,,,0.034532,,,
885,,,,,,0.02072,,,
886,,,,,,0.01244,,,
887,,,,,,0.007601,,,
888,,,,,,0.004702,,,
889,,,,,,0.002944,,,
890,,,,,,0.00187,,,
891,,,,,,0.001192,,,
892,,,,,,0.000743,,,
893,,,,,,0.000423,,,
894,,,,,,0.000241,,,
895,,,,,,0.000116,,,
896,,,,,,0.000044,,,
897,,,,,,-0.000013,,,
898,,,,,,-0.00005,,,
899,,,,,,-0.000084,,,
900,,,,,,-0.0001,,,
901,,,,,,,,,
902,,,,,,,,,
903,,,,,,,,,
904,,,,,,,,,
905,,,,,,,,,
906,,,,,,,,,
907,,,,,,,,,
908,,,,,,,,,
909,,,,,,,,,
910,,,,,,,,,
911,,,,,,,,,
912,,,,,,,,,
913,,,,,,,,,
914,,,,,,,,,
915,,,,,,,,,
916,,,,,,,,,
917,,,,,,,,,
918,,,,,,,,,
919,,,,,,,,,
920,,,,,,,,,
921,,,,,,,,,
922,,,,,,,,,
923,,,,,,,,,
924,,,,,,,,,
925,,,,,,,,,
926,,,,,,,,,
927,,,,,,,,,
928,,,,,,,,,
929,,,,,,,,,
930,,,,,,,,,
931,,,,,,,,,
932,,,,,,,,,
933,,,,,,,,,
934,,,,,,,,,
935,,,,,,,,,
936,,,,,,,,,
937,,,,,,,,,
938,,,,,,,,,
939,,,,,,,,,
940,,,,,,,,,
941,,,,,,,,,
942,,,,,,,,,
943,,,,,,,,,
944,,,,,,,,,
945,,,,,,,,,
946,,,,,,,,,
947,,,,,,,,,
948,,,,,,,,,
949,,,,,,,,,
950,,,,,,,,,
951,,,,,,,,,
952,,,,,,,,,
953,,,,,,,,,
954,,,,,,,,,
955,,,,,,,,,
956,,,,,,,,,
957,,,,,,,,,
958,,,,,,,,,
959,,,,,,,,,
960,,,,,,,,,
961,,,,,,,,,
962,,,,,,,,,
963,,,,,,,,,
964,,,,,,,,,
965,,,,,,,,,
966,,,,,,,,,
967,,,,,,,,,
968,,,,,,,,,
969,,,,,,,,,
970,,,,,,,,,
971,,,,,,,,,
972,,,,,,,,,
973,,,,,,,,,
974,,,,,,,,,
975,,,,,,,,,
976,,,,,,,,,
977,,,,,,,,,
978,,,,,,,,,
979,,,,,,,,,
980,,,,,,,,,
981,,,,,,,,,
982,,,,,,,,,
983,,,,,,,,,
984,,,,,,,,,
985,,,,,,,,,
986,,,,,,,,,
