nm,Coastal Aerosol,Blue,Green,Red,Pan,Nir,Cirrus,SWIR1,SWIR2
1693,,,,,,,,0.000301,
1694,,,,,,,,0.000206,
1695,,,,,,,,0.000112,
1696,,,,,,,,0.00004,
1697,,,,,,,,-0.000031,
1698,,,,,,,,,
1699,,,,,,,,,
1700,,,,,,,,,
1701,,,,,,,,,
1702,,,,,,,,,
1703,,,,,,,,,
1704,,,,,,,,,
1705,,,,,,,,,
1706,,,,,,,,,
1707,,,,,,,,,
1708,,,,,,,,,
1709,,,,,,,,,
1710,,,,,,,,,
1711,,,,,,,,,
1712,,,,,,,,,
1713,,,,,,,,,
1714,,,,,,,,,
1715,,,,,,,,,
1716,,,,,,,,,
1717,,,,,,,,,
1718,,,,,,,,,
1719,,,,,,,,,
1720,,,,,,,,,
1721,,,,,,,,,
1722,,,,,,,,,
1723,,,,,,,,,
1724,,,,,,,,,
1725,,,,,,,,,
1726,,,,,,,,,
1727,,,,,,,,,
1728,,,,,,,,,
1729,,,,,,,,,
1730,,,,,,,,,
1731,,,,,,,,,
1732,,,,,,,,,
1733,,,,,,,,,
1734,,,,,,,,,
1735,,,,,,,,,
1736,,,,,,,,,
1737,,,,,,,,,
1738,,,,,,,,,
1739,,,,,,,,,
1740,,,,,,,,,
1741,,,,,,,,,
1742,,,,,,,,,
1743,,,,,,,,,
1744,,,,,,,,,
1745,,,,,,,,,
1746,,,,,,,,,
1747,,,,,,,,,
1748,,,,,,,,,
1749,,,,,,,,,
1750,,,,,,,,,
1751,,,,,,,,,
1752,,,,,,,,,
1753,,,,,,,,,
1754,,,,,,,,,
1755,,,,,,,,,
1756,,,,,,,,,
1757,,,,,,,,,
1758,,,,,,,,,
1759,,,,,,,,,
1760,,,,,,,,,
1761,,,,,,,,,
1762,,,,,,,,,
1763,,,,,,,,,
1764,,,,,,,,,
1765,,,,,,,,,
1766,,,,,,,,,
1767,,,,,,,,,
1768,,,,,,,,,
1769,,,,,,,,,
1770,,,,,,,,,
1771,,,,,,,,,
1772,,,,,,,,,
1773,,,,,,,,,
1774,,,,,,,,,
1775,,,,,,,,,
1776,,,,,,,,,
1777,,,,,,,,,
1778,,,,,,,,,
1779,,,,,,,,,
1780,,,,,,,,,
1781,,,,,,,,,
1782,,,,,,,,,
1783,,,,,,,,,
1784,,,,,,,,,
1785,,,,,,,,,
1786,,,,,,,,,
1787,,,,,,,,,
1788,,,,,,,,,
1789,,,,,,,,,
1790,,,,,,,,,
1791,,,,,,,,,
1792,,,,,,,,,
1793,,,,,,,,,
1794,,,,,,,,,
1795,,,,,,,,,
1796,,,,,,,,,
1797,,,,,,,,,
1798,,,,,,,,,
1799,,,,,,,,,
1800,,,,,,,,,
1801,,,,,,,,,
1802,,,,,,,,,
1803,,,,,,,,,
1804,,,,,,,,,
1805,,,,,,,,,
1806,,,,,,,,,
1807,,,,,,,,,
1808,,,,,,,,,
1809,,,,,,,,,
1810,,,,,,,,,
1811,,,,,,,,,
1812,,,,,,,,,
1813,,,,,,,,,
1814,,,,,,,,,
1815,,,,,,,,,
1816,,,,,,,,,
1817,,,,,,,,,
1818,,,,,,,,,
1819,,,,,,,,,
1820,,,,,,,,,
1821,,,,,,,,,
1822,,,,,,,,,
1823,,,,,,,,,
1824,,,,,,,,,
1825,,,,,,,,,
1826,,,,,,,,,
1827,,,,,,,,,
1828,,,,,,,,,
1829,,,,,,,,,
1830,,,,,,,,,
1831,,,,,,,,,
1832,,,,,,,,,
1833,,,,,,,,,
1834,,,,,,,,,
1835,,,,,,,,,
1836,,,,,,,,,
1837,,,,,,,,,
1838,,,,,,,,,
1839,,,,,,,,,
1840,,,,,,,,,
1841,,,,,,,,,
1842,,,,,,,,,
1843,,,,,,,,,
1844,,,,,,,,,
1845,,,,,,,,,
1846,,,,,,,,,
1847,,,,,,,,,
1848,,,,,,,,,
1849,,,,,,,,,
1850,,,,,,,,,
1851,,,,,,,,,
1852,,,,,,,,,
1853,,,,,,,,,
1854,,,,,,,,,
1855,,,,,,,,,
1856,,,,,,,,,
1857,,,,,,,,,
1858,,,,,,,,,
1859,,,,,,,,,
1860,,,,,,,,,
1861,,,,,,,,,
1862,,,,,,,,,
1863,,,,,,,,,
1864,,,,,,,,,
1865,,,,,,,,,
1866,,,,,,,,,
1867,,,,,,,,,
1868,,,,,,,,,
1869,,,,,,,,,
1870,,,,,,,,,
1871,,,,,,,,,
1872,,,,,,,,,
1873,,,,,,,,,
1874,,,,,,,,,
1875,,,,,,,,,
1876,,,,,,,,,
1877,,,,,,,,,
1878,,,,,,,,,
1879,,,,,,,,,
1880,,,,,,,,,
1881,,,,,,,,,
1882,,,,,,,,,
1883,,,,,,,,,
1884,,,,,,,,,
1885,,,,,,,,,
1886,,,,,,,,,
1887,,,,,,,,,
1888,,,,,,,,,
1889,,,,,,,,,
1890,,,,,,,,,
1891,,,,,,,,,
1892,,,,,,,,,
1893,,,,,,,,,
1894,,,,,,,,,
1895,,,,,,,,,
1896,,,,,,,,,
1897,,,,,,,,,
1898,,,,,,,,,
1899,,,,,,,,,
1900,,,,,,,,,
1901,,,,,,,,,
1902,,,,,,,,,
1903,,,,,,,,,
1904,,,,,,,,,
1905,,,,,,,,,
1906,,,,,,,,,
1907,,,,,,,,,
1908,,,,,,,,,
1909,,,,,,,,,
1910,,,,,,,,,
1911,,,,,,,,,
1912,,,,,,,,,
1913,,,,,,,,,
1914,,,,,,,,,
1915,,,,,,,,,
1916,,,,,,,,,
1917,,,,,,,,,
1918,,,,,,,,,
1919,,,,,,,,,
1920,,,,,,,,,
1921,,,,,,,,,
1922,,,,,,,,,
1923,,,,,,,,,
1924,,,,,,,,,
1925,,,,,,,,,
1926,,,,,,,,,
1927,,,,,,,,,
1928,,,,,,,,,
1929,,,,,,,,,
1930,,,,,,,,,
1931,,,,,,,,,
1932,,,,,,,,,
1933,,,,,,,,,
1934,,,,,,,,,
1935,,,,,,,,,
1936,,,,,,,,,
1937,,,,,,,,,
1938,,,,,,,,,
1939,,,,,,,,,
1940,,,,,,,,,
1941,,,,,,,,,
1942,,,,,,,,,
1943,,,,,,,,,
1944,,,,,,,,,
1945,,,,,,,,,
1946,,,,,,,,,
1947,,,,,,,,,
1948,,,,,,,,,
1949,,,,,,,,,
1950,,,,,,,,,
1951,,,,,,,,,
1952,,,,,,,,,
1953,,,,,,,,,
1954,,,,,,,,,
1955,,,,,,,,,
1956,,,,,,,,,
1957,,,,,,,,,
1958,,,,,,,,,
1959,,,,,,,,,
1960,,,,,,,,,
1961,,,,,,,,,
1962,,,,,,,,,
1963,,,,,,,,,
1964,,,,,,,,,
1965,,,,,,,,,
1966,,,,,,,,,
1967,,,,,,,,,
1968,,,,,,,,,
1969,,,,,,,,,
1970,,,,,,,,,
1971,,,,,,,,,
1972,,,,,,,,,
1973,,,,,,,,,
1974,,,,,,,,,
1975,,,,,,,,,
1976,,,,,,,,,
1977,,,,,,,,,
1978,,,,,,,,,
1979,,,,,,,,,
1980,,,,,,,,,
1981,,,,,,,,,
1982,,,,,,,,,
1983,,,,,,,,,
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,,,,,,,,,
2004,,,,,,,,,
2005,,,,,,,,,
2006,,,,,,,,,
2007,,,,,,,,,
2008,,,,,,,,,
2009,,,,,,,,,
2010,,,,,,,,,
2011,,,,,,,,,
2012,,,,,,,,,
2013,,,,,,,,,
2014,,,,,,,,,
2015,,,,,,,,,
2016,,,,,,,,,
2017,,,,,,,,,
2018,,,,,,,,,
2019,,,,,,,,,
2020,,,,,,,,,
2021,,,,,,,,,
2022,,,,,,,,,
2023,,,,,,,,,
2024,,,,,,,,,
2025,,,,,,,,,
2026,,,,,,,,,
2027,,,,,,,,,
2028,,,,,,,,,
2029,,,,,,,,,
2030,,,,,,,,,
2031,,,,,,,,,
2032,,,,,,,,,
2033,,,,,,,,,
2034,,,,,,,,,
2035,,,,,,,,,
2036,,,,,,,,,
2037,,,,,,,,,-0.00001
2038,,,,,,,,,0.000037
2039,,,,,,,,,0.000083
2040,,,,,,,,,0.000131
2041,,,,,,,,,0.000179
2042,,,,,,,,,0.00024
2043,,,,,,,,,0.000305
2044,,,,,,,,,0.000368
2045,,,,,,,,,0.00043
2046,,,,,,,,,0.000512
2047,,,,,,,,,0.000599
2048,,,,,,,,,0.000704
2049,,,,,,,,,0.000814
2050,,,,,,,,,0.000947
2051,,,,,,,,,0.001085
2052,,,,,,,,,0.001222
2053,,,,,,,,,0.00136
2054,,,,,,,,,0.001546
2055,,,,,,,,,0.001745
2056,,,,,,,,,0.001964
2057,,,,,,,,,0.002187
2058,,,,,,,,,0.002439
2059,,,,,,,,,0.002696
2060,,,,,,,,,0.00301
2061,,,,,,,,,0.003339
2062,,,,,,,,,0.003733
2063,,,,,,,,,0.004141
2064,,,,,,,,,0.004627
2065,,,,,,,,,0.005137
2066,,,,,,,,,0.005728
2067,,,,,,,,,0.006337
2068,,,,,,,,,0.007139
2069,,,,,,,,,0.007996
2070,,,,,,,,,0.008903
2071,,,,,,,,,0.009824
2072,,,,,,,,,0.011005
2073,,,,,,,,,0.012261
2074,,,,,,,,,0.01361
2075,,,,,,,,,0.014987
2076,,,,,,,,,0.016872
2077,,,,,,,,,0.018899
2078,,,,,,,,,0.021
2079,,,,,,,,,0.023121
2080,,,,,,,,,0.025897
2081,,,,,,,,,0.028847
2082,,,,,,,,,0.032071
2083,,,,,,,,,0.035363
2084,,,,,,,,,0.040206
2085,,,,,,,,,0.045432
2086,,,,,,,,,0.050903
2087,,,,,,,,,0.056429
2088,,,,,,,,,0.06327
2089,,,,,,,,,0.070409
2090,,,,,,,,,0.079382
2091,,,,,,,,,0.088907
2092,,,,,,,,,0.10064
2093,,,,,,,,,0.11283
2094,,,,,,,,,0.128292
2095,,,,,,,,,0.144668
2096,,,,,,,,,0.162055
2097,,,,,,,,,0.179714
2098,,,,,,,,,0.20278
2099,,,,,,,,,0.227234
2100,,,,,,,,,0.253732
2101,,,,,,,,,0.280925
2102,,,,,,,,,0.311347
2103,,,,,,,,,0.342526
2104,,,,,,,,,0.377044
2105,,,,,,,,,0.412621
2106,,,,,,,,,0.45047
2107,,,,,,,,,0.488816
2108,,,,,,,,,0.522458
2109,,,,,,,,,0.554715
2110,,,,,,,,,0.593227
2111,,,,,,,,,0.633521
2112,,,,,,,,,0.663067
2113,,,,,,,,,0.689664
2114,,,,,,,,,0.722284
2115,,,,,,,,,0.756529
2116,,,,,,,,,0.776463
2117,,,,,,,,,0.792667
2118,,,,,,,,,0.813716
2119,,,,,,,,,0.836001
2120,,,,,,,,,0.846344
2121,,,,,,,,,0.853714
2122,,,,,,,,,0.867845
2123,,,,,,,,,0.883615
2124,,,,,,,,,0.886411
2125,,,,,,,,,0.886127
2126,,,,,,,,,0.895232
2127,,,,,,,,,0.906527
2128,,,,,,,,,0.909739
2129,,,,,,,,,0.911091
2130,,,,,,,,,0.917985
2131,,,,,,,,,0.926131
2132,,,,,,,,,0.929693
2133,,,,,,,,,0.932227
2134,,,,,,,,,0.936544
2135,,,,,,,,,0.941406
2136,,,,,,,,,0.942571
2137,,,,,,,,,0.942952
2138,,,,,,,,,0.943112
2139,,,,,,,,,0.943194
2140,,,,,,,,,0.945168
2141,,,,,,,,,0.947537
2142,,,,,,,,,0.948776
2143,,,,,,,,,0.949694
2144,,,,,,,,,0.949643
2145,,,,,,,,,0.9494
2146,,,,,,,,,0.952551
2147,,,,,,,,,0.956635
2148,,,,,,,,,0.953083
2149,,,,,,,,,0.947423
2150,,,,,,,,,0.949094
2151,,,,,,,,,0.952773
2152,,,,,,,,,0.950874
2153,,,,,,,,,0.947477
2154,,,,,,,,,0.947014
2155,,,,,,,,,0.947085
2156,,,,,,,,,0.951812
2157,,,,,,,,,0.957717
2158,,,,,,,,,0.953332
2159,,,,,,,,,0.946412
2160,,,,,,,,,0.947778
2161,,,,,,,,,0.951119
2162,,,,,,,,,0.951641
2163,,,,,,,,,0.951518
2164,,,,,,,,,0.948644
2165,,,,,,,,,0.944956
2166,,,,,,,,,0.942515
2167,,,,,,,,,0.940311
2168,,,,,,,,,0.9434
2169,,,,,,,,,0.947923
2170,,,,,,,,,0.94501
2171,,,,,,,,,0.940213
2172,,,,,,,,,0.938737
2173,,,,,,,,,0.93806
2174,,,,,,,,,0.941859
2175,,,,,,,,,0.947019
2176,,,,,,,,,0.946554
2177,,,,,,,,,0.944482
2178,,,,,,,,,0.947414
2179,,,,,,,,,0.951661
2180,,,,,,,,,0.949283
2181,,,,,,,,,0.945318
2182,,,,,,,,,0.939939
2183,,,,,,,,,0.934142
2184,,,,,,,,,0.935493
2185,,,,,,,,,0.93882
2186,,,,,,,,,0.939253
2187,,,,,,,,,0.938955
2188,,,,,,,,,0.934675
2189,,,,,,,,,0.929162
2190,,,,,,,,,0.927085
2191,,,,,,,,,0.925692
2192,,,,,,,,,0.930508
2193,,,,,,,,,0.936899
2194,,,,,,,,,0.933908
2195,,,,,,,,,0.927984
2196,,,,,,,,,0.930981
2197,,,,,,,,,0.936472
2198,,,,,,,,,0.935776
2199,,,,,,,,,0.933523
2200,,,,,,,,,0.935132
2201,,,,,,,,,0.937592
2202,,,,,,,,,0.946217
2203,,,,,,,,,0.956567
2204,,,,,,,,,0.955661
2205,,,,,,,,,0.951991
2206,,,,,,,,,0.956666
2207,,,,,,,,,0.963135
2208,,,,,,,,,0.964442
2209,,,,,,,,,0.964365
2210,,,,,,,,,0.963523
2211,,,,,,,,,0.962434
2212,,,,,,,,,0.962905
2213,,,,,,,,,0.963685
2214,,,,,,,,,0.962473
2215,,,,,,,,,0.960741
2216,,,,,,,,,0.959239
2217,,,,,,,,,0.957814
2218,,,,,,,,,0.957781
2219,,,,,,,,,0.958041
2220,,,,,,,,,0.953274
2221,,,,,,,,,0.94716
2222,,,,,,,,,0.951706
2223,,,,,,,,,0.958833
2224,,,,,,,,,0.960212
2225,,,,,,,,,0.960339
2226,,,,,,,,,0.954785
2227,,,,,,,,,0.947696
2228,,,,,,,,,0.951965
2229,,,,,,,,,0.95906
2230,,,,,,,,,0.960554
2231,,,,,,,,,0.960764
2232,,,,,,,,,0.95575
2233,,,,,,,,,0.949261
2234,,,,,,,,,0.953245
2235,,,,,,,,,0.95997
2236,,,,,,,,,0.963736
2237,,,,,,,,,0.966786
2238,,,,,,,,,0.964315
2239,,,,,,,,,0.960173
2240,,,,,,,,,0.965473
2241,,,,,,,,,0.973416
2242,,,,,,,,,0.977637
2243,,,,,,,,,0.980904
2244,,,,,,,,,0.98276
2245,,,,,,,,,0.984155
2246,,,,,,,,,0.984693
2247,,,,,,,,,0.985056
2248,,,,,,,,,0.991486
2249,,,,,,,,,0.9996
2250,,,,,,,,,0.997654
2251,,,,,,,,,0.993153
2252,,,,,,,,,0.992469
2253,,,,,,,,,0.992675
2254,,,,,,,,,0.995894
2255,,,,,,,,,1
2256,,,,,,,,,0.999279
2257,,,,,,,,,0.997261
2258,,,,,,,,,0.994356
2259,,,,,,,,,0.991127
2260,,,,,,,,,0.987747
2261,,,,,,,,,0.984349
2262,,,,,,,,,0.986037
2263,,,,,,,,,0.989132
2264,,,,,,,,,0.984536
2265,,,,,,,,,0.978024
2266,,,,,,,,,0.975019
2267,,,,,,,,,0.972794
2268,,,,,,,,,0.974168
2269,,,,,,,,,0.97654
2270,,,,,,,,,0.976199
2271,,,,,,,,,0.975206
2272,,,,,,,,,0.974409
2273,,,,,,,,,0.973662
2274,,,,,,,,,0.967502
2275,,,,,,,,,0.959895
2276,,,,,,,,,0.956943
2277,,,,,,,,,0.955095
2278,,,,,,,,,0.955085
2279,,,,,,,,,0.955588
2280,,,,,,,,,0.947195
2281,,,,,,,,,0.93665
2282,,,,,,,,,0.922405
2283,,,,,,,,,0.907109
2284,,,,,,,,,0.89494
2285,,,,,,,,,0.883588
2286,,,,,,,,,0.855489
2287,,,,,,,,,0.823876
2288,,,,,,,,,0.78488
2289,,,,,,,,,0.744025
2290,,,,,,,,,0.69852
2291,,,,,,,,,0.651673
2292,,,,,,,,,0.602539
2293,,,,,,,,,0.552647
2294,,,,,,,,,0.502693
2295,,,,,,,,,0.452698
2296,,,,,,,,,0.403993
2297,,,,,,,,,0.355569
2298,,,,,,,,,0.315712
2299,,,,,,,,,0.27826
2300,,,,,,,,,0.244645
2301,,,,,,,,,0.212213
2302,,,,,,,,,0.186151
2303,,,,,,,,,0.161749
2304,,,,,,,,,0.141435
2305,,,,,,,,,0.122015
2306,,,,,,,,,0.106531
2307,,,,,,,,,0.092029
2308,,,,,,,,,0.080268
2309,,,,,,,,,0.069276
2310,,,,,,,,,0.060703
2311,,,,,,,,,0.052702
2312,,,,,,,,,0.046332
2313,,,,,,,,,0.040405
2314,,,,,,,,,0.035634
2315,,,,,,,,,0.031213
2316,,,,,,,,,0.027516
2317,,,,,,,,,0.024
2318,,,,,,,,,0.021262
2319,,,,,,,,,0.018688
2320,,,,,,,,,0.016562
2321,,,,,,,,,0.014545
2322,,,,,,,,,0.01293
2323,,,,,,,,,0.011426
2324,,,,,,,,,0.010155
2325,,,,,,,,,0.008959
2326,,,,,,,,,0.007992
2327,,,,,,,,,0.007088
2328,,,,,,,,,0.006348
2329,,,,,,,,,0.005643
2330,,,,,,,,,0.005019
2331,,,,,,,,,0.004415
2332,,,,,,,,,0.003903
2333,,,,,,,,,0.003421
2334,,,,,,,,,0.003025
2335,,,,,,,,,0.002651
2336,,,,,,,,,0.00234
2337,,,,,,,,,0.002047
2338,,,,,,,,,0.001795
2339,,,,,,,,,0.001554
2340,,,,,,,,,0.001345
2341,,,,,,,,,0.001145
2342,,,,,,,,,0.000974
2343,,,,,,,,,0.000811
2344,,,,,,,,,0.00068
2345,,,,,,,,,0.00056
2346,,,,,,,,,0.00044
2347,,,,,,,,,0.00032
2348,,,,,,,,,0.000217
2349,,,,,,,,,0.000119
2350,,,,,,,,,0.000028
2351,,,,,,,,,-0.000062
2352,,,,,,,,,-0.000134
2353,,,,,,,,,-0.000202
2354,,,,,,,,,-0.000263
2355,,,,,,,,,-0.000322
